date,uri,hdUri,thumbUri,aspectRatio,aspectRatioThumb,blurHash,blurHashThumb
1995-08-14,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-08-14.jpg,https://apod.nasa.gov/apod/image/merc_marin10.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-08-14.jpg,1.3,1.78,L78|^lRj00of~qay9Fj[00j[Rjof,LBA0?#Rj4nj[~qay9FfQM{ayIUof
1995-08-15,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-08-15.jpg,https://apod.nasa.gov/apod/image/venus_galileo.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-08-15.jpg,0.81,1.78,KhI;kH~T4=WBayj[0NE2oK,L.MP~i~T9vM|V[aej[bHRkWBWCWC
1995-08-16,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-08-16.jpg,https://apod.nasa.gov/apod/image/uranus_vg2.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-08-16.jpg,0.99,1.78,"KtDAl,MwDgxvWBRiDgtRtS","L:F?|,I9Dgxux]WCRkj=M_ofocb0"
1995-08-17,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-08-17.jpg,https://apod.nasa.gov/apod/image/neptune_vg2.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-08-17.jpg,1,1.78,KeAU@2xvMaofjZWBI7WAn#,LYCHw6%OI7W@s;f6WBayM_WBjDax
1995-08-18,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-08-18.jpg,https://apod.nasa.gov/apod/image/pluto_hst.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-08-18.jpg,1.92,1.78,L44-tc~S^hxZ4=0iE3Rlj@oKj@j@,L54_LJ~9~8-n9c59E3Iqj@oKj@j@
1995-08-19,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-08-19.jpg,https://apod.nasa.gov/apod/image/solsys_vg1.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-08-19.jpg,1.27,1.78,LK8h91kYJWbI?wbwI;fk%gbIRjjt,LE7K}Pp0K7bb?wbxI;bHxvbbR*fR
1995-08-20,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-08-20.jpg,https://apod.nasa.gov/apod/image/comet_hb1.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-08-20.jpg,1.32,1.78,L05#hS4n4nxu-;9FofWB-;fQxu%M,L055II4n9FWB-;9Fj[ofM{Rj%M%M
1995-08-21,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-08-21.jpg,https://apod.nasa.gov/apod/image/comet_halleynuc1.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-08-21.jpg,1.36,1.78,LrNjzb}@NGrX9an4xZS~bvS#aze.,LvNjwU}@NGn49arXxZS~bvX9jZae
1995-08-22,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-08-22.jpg,https://apod.nasa.gov/apod/image/magellan_venus1.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-08-22.jpg,0.99,1.78,KKB^@ES3Nwn*NbWW1JoKS2,LCET3cNwS4$%NbAES2$i1Jw_J8Eg
1995-08-23,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-08-23.jpg,https://apod.nasa.gov/apod/image/venus_tick.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-08-23.jpg,1.44,1.78,L7LefZ0gEN-mE3EOR+IW4=kCWBoz,"L8LecQ0hE4-mE4NJR+Ip9vR,Rkoy"
1995-08-24,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-08-24.jpg,https://apod.nasa.gov/apod/image/rainier.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-08-24.jpg,1.51,1.78,LPIE-2?w%gS#RjV?oIWBxtWVM|s.,LPH.A?_4%hSiV@RPs+WBx[bFM|s.
1995-08-25,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-08-25.jpg,https://apod.nasa.gov/apod/image/magellan_sc.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-08-25.jpg,1.54,1.78,L25hc1%f00MxN#RjIAaxD#ad-=f-,L25r0v%f00MxNhRPIAWBRMoJ%Obc
1995-08-26,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-08-26.jpg,https://apod.nasa.gov/apod/image/comet_west.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-08-26.jpg,1.33,1.78,LB6kn^xv8^IBDjM{%M%gMvt7%NM{,LE71.xtR8^ICDjM{%f%fW8tQt8IU
1995-08-27,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-08-27.jpg,https://apod.nasa.gov/apod/image/grb3map.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-08-27.jpg,1.25,1.78,L15=FFMy02x[%LWWRQtQ03V@Dit5,L15OZ*IB4p%g-:WCM{%fIVIBIU-:
1995-08-28,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-08-28.jpg,https://apod.nasa.gov/apod/image/cenA_ctio.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-08-28.jpg,1.47,1.78,L87U3kt70KRjIUt7%MWBOZogr;RP,L97dk4s;0KR*IUt7-pRjkrofZ~RP
1995-08-29,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-08-29.jpg,https://apod.nasa.gov/apod/image/saturn5_apollo11.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-08-29.jpg,1.14,1.78,KlGTKj%Kac0NWUs;MyNHRk,LxHpI=-ns*s*0MX8kXkWxGNHWVWV
1995-08-30,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-08-30.jpg,https://apod.nasa.gov/apod/image/skylab.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-08-30.jpg,1.25,1.78,"LFFsld?[x]o$?wD,Mv-:ITx^9Fxt",LJG0Ih%w.8WZ?wDki]%fjYkDIUxV
1995-08-31,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-08-31.jpg,https://apod.nasa.gov/apod/image/moon_rosat.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-08-31.jpg,0.96,1.78,"KSI31~0*EQ-QR,I?9z=]R+","LmJ6AW0+Nd}:$}V]NJt4WDt4R,WW"
1995-09-01,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-09-01.jpg,https://apod.nasa.gov/apod/image/chandra_uc.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-09-01.jpg,1.08,1.78,KEHV9w_300D%D%ofoft7t7,LEHLl1_3004n?bIURjD%Rj%M-;xu
1995-09-02,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-09-02.jpg,https://apod.nasa.gov/apod/image/darkmatter_rosat.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-09-02.jpg,1.27,1.78,"LLAa#2,^1p5#bYofn,WC1;O9]Y$A","LUB^f0$m1pA9X4oeo3afB2Sd,wwh"
1995-09-03,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-09-03.jpg,https://apod.nasa.gov/apod/image/moon_clementine.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-09-03.jpg,1.13,1.78,KFCZV0xu004mWB-;4nM{M{,LHD+}L%M4nxu00RjxvWBRjRjD%WB
1995-09-04,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-09-04.jpg,https://apod.nasa.gov/apod/image/ganymede_vg.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-09-04.jpg,1,1.78,KMF|#m^i0~9uRj$%EgI;EM,LNH0kU~AJTNH57M|$$SgxtShNbn%
1995-09-05,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-09-05.jpg,https://apod.nasa.gov/apod/image/europa_vg.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-09-05.jpg,2.63,1.78,LNIC[jeo0$oLK4s.9vt69vWWsTWq,LLJiUUnjE4xZx@WCE3s.0$afIqWW
